ABC command line: "lsv_print_msfc".

MSFC 0 : n0 
MSFC 1 : n386,n387,n388
MSFC 2 : n389
MSFC 3 : n390
MSFC 4 : n391
MSFC 5 : n392,n393,n394,n395
MSFC 6 : n396,n397
MSFC 7 : n398
MSFC 8 : n399
MSFC 9 : n400,n401,n402,n403
MSFC 10 : n404,n405
MSFC 11 : n406
MSFC 12 : n407
MSFC 13 : n408,n409,n410,n411
MSFC 14 : n412,n413
MSFC 15 : n414
MSFC 16 : n415
MSFC 17 : n416,n417,n418,n419
MSFC 18 : n420,n421
MSFC 19 : n422
MSFC 20 : n423
MSFC 21 : n424,n425,n426,n427
MSFC 22 : n428,n429
MSFC 23 : n430
MSFC 24 : n431
MSFC 25 : n432,n433,n434,n435
MSFC 26 : n436,n437
MSFC 27 : n438
MSFC 28 : n439
MSFC 29 : n440,n441,n442,n443
MSFC 30 : n444,n445
MSFC 31 : n446
MSFC 32 : n447
MSFC 33 : n448,n449,n450,n451
MSFC 34 : n452,n453
MSFC 35 : n454
MSFC 36 : n455
MSFC 37 : n456,n457,n458,n459
MSFC 38 : n460,n461
MSFC 39 : n462
MSFC 40 : n463
MSFC 41 : n464,n465,n466,n467
MSFC 42 : n468,n469
MSFC 43 : n470
MSFC 44 : n471
MSFC 45 : n472,n473,n474,n475
MSFC 46 : n476,n477
MSFC 47 : n478
MSFC 48 : n479
MSFC 49 : n480,n481,n482,n483
MSFC 50 : n484,n485
MSFC 51 : n486
MSFC 52 : n487
MSFC 53 : n488,n489,n490,n491
MSFC 54 : n492,n493
MSFC 55 : n494
MSFC 56 : n495
MSFC 57 : n496,n497,n498,n499
MSFC 58 : n500,n501
MSFC 59 : n502
MSFC 60 : n503
MSFC 61 : n504,n505,n506,n507
MSFC 62 : n508,n509
MSFC 63 : n510
MSFC 64 : n511
MSFC 65 : n512,n513,n514,n515
MSFC 66 : n516,n517
MSFC 67 : n518
MSFC 68 : n519
MSFC 69 : n520,n521,n522,n523
MSFC 70 : n524,n525
MSFC 71 : n526
MSFC 72 : n527
MSFC 73 : n528,n529,n530,n531
MSFC 74 : n532,n533
MSFC 75 : n534
MSFC 76 : n535
MSFC 77 : n536,n537,n538,n539
MSFC 78 : n540,n541
MSFC 79 : n542
MSFC 80 : n543
MSFC 81 : n544,n545,n546,n547
MSFC 82 : n548,n549
MSFC 83 : n550
MSFC 84 : n551
MSFC 85 : n552,n553,n554,n555
MSFC 86 : n556,n557
MSFC 87 : n558
MSFC 88 : n559
MSFC 89 : n560,n561,n562,n563
MSFC 90 : n564,n565
MSFC 91 : n566
MSFC 92 : n567
MSFC 93 : n568,n569,n570,n571
MSFC 94 : n572,n573
MSFC 95 : n574
MSFC 96 : n575
MSFC 97 : n576,n577,n578,n579
MSFC 98 : n580,n581
MSFC 99 : n582
MSFC 100 : n583
MSFC 101 : n584,n585,n586,n587
MSFC 102 : n588,n589
MSFC 103 : n590
MSFC 104 : n591
MSFC 105 : n592,n593,n594,n595
MSFC 106 : n596,n597
MSFC 107 : n598
MSFC 108 : n599
MSFC 109 : n600,n601,n602,n603
MSFC 110 : n604,n605
MSFC 111 : n606
MSFC 112 : n607
MSFC 113 : n608,n609,n610,n611
MSFC 114 : n612,n613
MSFC 115 : n614
MSFC 116 : n615
MSFC 117 : n616,n617,n618,n619
MSFC 118 : n620,n621
MSFC 119 : n622
MSFC 120 : n623
MSFC 121 : n624,n625,n626,n627
MSFC 122 : n628,n629
MSFC 123 : n630
MSFC 124 : n631
MSFC 125 : n632,n633,n634,n635
MSFC 126 : n636,n637
MSFC 127 : n638
MSFC 128 : n639
MSFC 129 : n640,n641,n642,n643
MSFC 130 : n644,n645
MSFC 131 : n646
MSFC 132 : n647
MSFC 133 : n648,n649,n650,n651
MSFC 134 : n652,n653
MSFC 135 : n654
MSFC 136 : n655
MSFC 137 : n656,n657,n658,n659
MSFC 138 : n660,n661
MSFC 139 : n662
MSFC 140 : n663
MSFC 141 : n664,n665,n666,n667
MSFC 142 : n668,n669
MSFC 143 : n670
MSFC 144 : n671
MSFC 145 : n672,n673,n674,n675
MSFC 146 : n676,n677
MSFC 147 : n678
MSFC 148 : n679
MSFC 149 : n680,n681,n682,n683
MSFC 150 : n684,n685
MSFC 151 : n686
MSFC 152 : n687
MSFC 153 : n688,n689,n690,n691
MSFC 154 : n692,n693
MSFC 155 : n694
MSFC 156 : n695
MSFC 157 : n696,n697,n698,n699
MSFC 158 : n700,n701
MSFC 159 : n702
MSFC 160 : n703
MSFC 161 : n704,n705,n706,n707
MSFC 162 : n708,n709
MSFC 163 : n710
MSFC 164 : n711
MSFC 165 : n712,n713,n714,n715
MSFC 166 : n716,n717
MSFC 167 : n718
MSFC 168 : n719
MSFC 169 : n720,n721,n722,n723
MSFC 170 : n724,n725
MSFC 171 : n726
MSFC 172 : n727
