ABC command line: "lsv_print_msfc".

MSFC 0 : n0 
MSFC 1 : n257
MSFC 2 : n258
MSFC 3 : n259,n260
MSFC 4 : n261
MSFC 5 : n262,n267,n268,n273,n274,n275,n276,n277,n278
MSFC 6 : n263,n264,n265
MSFC 7 : n266
MSFC 8 : n269
MSFC 9 : n270,n271,n272
MSFC 10 : n279
MSFC 11 : n280,n281
MSFC 12 : n282,n285,n286,n287,n288,n297,n298,n299,n300,n301,n302
MSFC 13 : n283,n284
MSFC 14 : n289,n290
MSFC 15 : n291,n292,n293,n294,n295,n296
MSFC 16 : n303
MSFC 17 : n304,n305
MSFC 18 : n306,n307,n308,n309,n310,n319,n320,n321,n322,n323,n324
MSFC 19 : n311,n312
MSFC 20 : n313,n315
MSFC 21 : n314
MSFC 22 : n316
MSFC 23 : n317,n318
MSFC 24 : n325,n326,n327
MSFC 25 : n328
MSFC 26 : n329
MSFC 27 : n330,n331
MSFC 28 : n332
MSFC 29 : n333,n334
MSFC 30 : n335,n336,n337,n338,n339,n347,n348,n349,n350,n351,n352
MSFC 31 : n340
MSFC 32 : n341,n343
MSFC 33 : n342
MSFC 34 : n344
MSFC 35 : n345,n346
MSFC 36 : n353
MSFC 37 : n354,n355,n356
MSFC 38 : n357
MSFC 39 : n358,n363,n364,n366,n367,n368,n369,n370,n371
MSFC 40 : n359,n360,n361
MSFC 41 : n362
MSFC 42 : n365
MSFC 43 : n372
MSFC 44 : n373,n374
MSFC 45 : n375
MSFC 46 : n376,n377,n378
MSFC 47 : n379
MSFC 48 : n380
MSFC 49 : n381,n382
MSFC 50 : n383,n384,n385,n386,n387,n395,n396,n397,n398,n399,n400
MSFC 51 : n388
MSFC 52 : n389,n391
MSFC 53 : n390
MSFC 54 : n392
MSFC 55 : n393,n394
MSFC 56 : n401,n404,n405,n406,n407,n408,n409,n410,n411,n412,n413
MSFC 57 : n402,n403
MSFC 58 : n414
MSFC 59 : n415,n416
MSFC 60 : n417
MSFC 61 : n418,n419,n420
MSFC 62 : n421
MSFC 63 : n422
MSFC 64 : n423,n424
MSFC 65 : n425
MSFC 66 : n426,n427,n428
MSFC 67 : n429
MSFC 68 : n430
MSFC 69 : n431,n432,n433
MSFC 70 : n434,n435,n436,n437,n438,n439,n440,n441,n442,n443,n444
MSFC 71 : n445,n446,n447
MSFC 72 : n448,n449,n450,n451,n452,n460,n461,n462,n463,n464,n465
MSFC 73 : n453
MSFC 74 : n454,n456
MSFC 75 : n455
MSFC 76 : n457
MSFC 77 : n458,n459
MSFC 78 : n466
MSFC 79 : n467,n468
MSFC 80 : n469
MSFC 81 : n470,n471
MSFC 82 : n472
MSFC 83 : n473,n474,n475,n476,n477,n485,n486,n487,n488,n489,n490
MSFC 84 : n478
MSFC 85 : n479,n481
MSFC 86 : n480
MSFC 87 : n482
MSFC 88 : n483,n484
MSFC 89 : n491,n492,n493,n494,n495,n496,n497,n498,n499,n500,n501
MSFC 90 : n502
MSFC 91 : n503,n504,n505
MSFC 92 : n506
MSFC 93 : n507,n512,n513,n515,n516,n517,n518,n519,n520
MSFC 94 : n508,n509,n510
MSFC 95 : n511
MSFC 96 : n514
MSFC 97 : n521
MSFC 98 : n522,n523
MSFC 99 : n524
MSFC 100 : n525,n526,n527
MSFC 101 : n528,n529
MSFC 102 : n530
MSFC 103 : n531,n532
MSFC 104 : n533
MSFC 105 : n534,n535
MSFC 106 : n536
MSFC 107 : n537,n538
MSFC 108 : n539,n542,n543,n544,n545,n546,n547,n548,n549,n550,n551
MSFC 109 : n540,n541
MSFC 110 : n552,n554
MSFC 111 : n553
MSFC 112 : n555,n556,n557,n558,n559,n560,n561,n562,n563,n564,n565
MSFC 113 : n566
MSFC 114 : n567,n568,n569
MSFC 115 : n570
MSFC 116 : n571,n573
MSFC 117 : n572
MSFC 118 : n574,n575,n576,n577,n578,n586,n587,n588,n589,n590,n591
MSFC 119 : n579
MSFC 120 : n580,n582
MSFC 121 : n581
MSFC 122 : n583
MSFC 123 : n584,n585
MSFC 124 : n592
MSFC 125 : n593,n594,n595
MSFC 126 : n596
MSFC 127 : n597
MSFC 128 : n598,n599
MSFC 129 : n600,n601,n602,n603,n604,n605,n606,n607,n608,n609,n610
MSFC 130 : n611,n612,n613
MSFC 131 : n614
MSFC 132 : n615,n616,n617
MSFC 133 : n618,n619,n620,n621,n622,n623,n624,n625,n626,n627,n628
MSFC 134 : n629
MSFC 135 : n630,n631
MSFC 136 : n632
MSFC 137 : n633,n634,n635
MSFC 138 : n636
MSFC 139 : n637,n639
MSFC 140 : n638
MSFC 141 : n640,n641,n642,n643,n644,n652,n653,n654,n655,n656,n657
MSFC 142 : n645
MSFC 143 : n646,n648
MSFC 144 : n647
MSFC 145 : n649
MSFC 146 : n650,n651
MSFC 147 : n658
MSFC 148 : n659,n660,n661
MSFC 149 : n662
