Benchmark,Result
lsv_fall_2021/pa1/four_number_serial_adder.blif,Fail
benchmarks/arithmetic/hyp.aig,Pass
benchmarks/arithmetic/multiplier.aig,Pass
benchmarks/arithmetic/bar.aig,Pass
benchmarks/arithmetic/sin.aig,Pass
benchmarks/arithmetic/square.aig,Pass
benchmarks/arithmetic/max.aig,Pass
benchmarks/arithmetic/log2.aig,Pass
benchmarks/arithmetic/div.aig,Pass
benchmarks/arithmetic/adder.aig,Pass
benchmarks/arithmetic/sqrt.aig,Pass
benchmarks/random_control/voter.aig,Pass
benchmarks/random_control/int2float.aig,Pass
benchmarks/random_control/dec.aig,Pass
benchmarks/random_control/priority.aig,Pass
benchmarks/random_control/arbiter.aig,Pass
benchmarks/random_control/ctrl.aig,Pass
benchmarks/random_control/router.aig,Pass
benchmarks/random_control/cavlc.aig,Pass
benchmarks/random_control/mem_ctrl.aig,Pass
benchmarks/random_control/i2c.aig,Pass
Score,80
